FullTissue,Tissue,Sample.ID
Muscle - Skeletal,Muscle - Skeletal,GTEX.12WSD.0526
Esophagus - Gastroesophageal Junction,Esophagus,GTEX.11DXX.1226
Artery - Aorta,Artery,GTEX.12WSD.1326
Thyroid,Thyroid,GTEX.13D11.0226
Heart - Atrial Appendage,Heart,GTEX.1211K.0226
Stomach,Stomach,GTEX.YEC4.1426
Liver,Liver,GTEX.12WSD.1426
Colon - Sigmoid,Colon,GTEX.12WSD.2626
Nerve - Tibial,Nerve - Tibial,GTEX.13D11.2626
Esophagus - Mucosa,Esophagus,GTEX.1211K.0926
Muscle - Skeletal,Muscle - Skeletal,GTEX.XUJ4.2626
Skin - Not Sun Exposed (Suprapubic),Skin,GTEX.12WSD.0626
Uterus,Uterus,GTEX.12WSD.2826
Lung,Lung,GTEX.12WSD.0826
Artery - Aorta,Artery,GTEX.11GSP.1126
Muscle - Skeletal,Muscle - Skeletal,GTEX.1122O.2426
Esophagus - Mucosa,Esophagus,GTEX.13FTW.1626
Uterus,Uterus,GTEX.13D11.1226
Liver,Liver,GTEX.YEC4.0826
Colon - Sigmoid,Colon,GTEX.1122O.1426
Heart - Left Ventricle,Heart,GTEX.YEC4.0326
Brain - Cerebellum,Brain,GTEX.11GSP.3126
Thyroid,Thyroid,GTEX.13FTW.0626
Artery - Aorta,Artery,GTEX.1122O.1126
Muscle - Skeletal,Muscle - Skeletal,GTEX.13FTW.2326
Ovary,Ovary,GTEX.11GSP.0226
Uterus,Uterus,GTEX.1399U.1326
Artery - Aorta,Artery,GTEX.U3ZN.0526
Esophagus - Gastroesophageal Junction,Esophagus,GTEX.1399R.0926
Heart - Atrial Appendage,Heart,GTEX.1399R.1726
Colon - Sigmoid,Colon,GTEX.1399R.2126
Vagina,Vagina,GTEX.11DXX.1726
Heart - Left Ventricle,Heart,GTEX.1211K.0626
Minor Salivary Gland,Salivarygland,GTEX.XV7Q.2426
Thyroid,Thyroid,GTEX.1399R.0126
