EnsemblGeneID,GeneName,UniProtID,UniProtID_T,K,k,T50,ProteinHalfLife
ENSG00000144554,FANCD2,Q9BXW9,Q9BXW9;Q9BXW9-1;Q9BXW9-3;Q9BXW9-4,0.044297178,0.020145128,15.64765992,1.53665542
ENSG00000067596,DHX8,Q14562,Q14562,0.067649834,0.044283984,10.24610324,1.19457878
ENSG00000109805,NCAPG,Q9BPX3,Q9BPX3,0.037541311,0.01241516,18.46358504,1.746873137
ENSG00000110906,KCTD10,Q9H3F6,Q9H3F6;Q9H3F6-2;Q9H3F6-3,0.172441294,0.148332506,4.01961249,0.669589128
ENSG00000115685,PPP1R7,Q15435,Q15435;Q15435-3,0.02404371,0.003310317,28.82862815,2.32095585
ENSG00000115211,EIF2B4,Q9UI10,Q9UI10,0.030798701,0.004904855,22.50572758,2.150199311
ENSG00000196663,TECPR2,O15040,O15040-2;O15040,0.022,NA,31.50669003,NA
ENSG00000154127,UBASH3B,Q8TF42,Q8TF42,0.050786317,0.026331981,13.6483057,1.420341935
ENSG00000067208,EVI5,O60447,O60447;O60447-2,0.0471069,0.022153203,14.71434514,1.495388935
ENSG00000144028,SNRNP200,O75643,O75643;O75643-2,0.04159988,0.018121457,16.66223998,1.582632351
ENSG00000033011,ALG1,Q9BT22,Q9BT22-2;Q9BT22,0.036,0.00976,19.25408835,1.851375643
ENSG00000110841,PPFIBP1,Q86W92,Q86W92-2,0.0344,0.00816,20.14962734,1.929135302
ENSG00000100345,MYH9,P35579,P35579;P35579-2,0.03184949,0.007838329,21.76321144,1.946601978
ENSG00000136045,PWP1,Q13610,Q13610;Q13610-2,0.051056831,0.026955782,13.57599298,1.410173521
ENSG00000116459,ATP5F1,P24539,P24539,0.0398,0.016664159,17.41575831,1.619042057
ENSG00000131844,MCCC2,Q9HCC0,Q9HCC0;Q9HCC0-2,0.023822258,0.013709821,29.09661905,1.703793667
ENSG00000006704,GTF2IRD1,Q9UHL9,Q9UHL9-2;Q9UHL9;Q9UHL9-3,0.144332948,0.11772195,4.802418215,0.769968012
ENSG00000127564,PKMYT1,Q99640,Q99640-3;Q99640-4;Q99640-2;Q99640,0.124760571,0.093787159,5.555819252,0.86868208
ENSG00000143401,ANP32E,Q9BTT0,Q9BTT0-3;Q9BTT0;Q9BTT0-2,0.030047962,0.00792,23.06802666,1.942100279
ENSG00000168496,FEN1,P39748,P39748;P39748-2,0.028499298,0.00366,24.32155258,2.277344376
ENSG00000111790,FGFR1OP2,Q9NVK5,Q9NVK5-2;Q9NVK5;Q9NVK5-3,0.042324934,0.017430382,16.37680493,1.599518568
ENSG00000254093,PINX1,Q96BK5,Q96BK5;Q9BT81-2;Q96BK5-2,0.076400262,0.050110168,9.072575989,1.140899605
ENSG00000166734,CASC4,Q6P4E1,Q6P4E1-2;Q6P4E1-5;Q6P4E1;Q6P4E1-4,0.047,0.02147,14.74781235,1.508993417
ENSG00000062822,POLD1,P28340,P28340,0.040846297,0.015459696,16.9696454,1.651624512
ENSG00000131467,PSME3,P61289,P61289;P61289-3;P61289-2,0.052342908,0.026395628,13.24242785,1.419293455
ENSG00000253309,SERPINE3,A8MV23,A8MV23,0.1,0.07752,6.931471806,0.951411697
ENSG00000164597,COG5,Q9UP83,Q9UP83;Q9UP83-2;Q9UP83-3,0.057500435,0.031253867,12.05464242,1.345921702
ENSG00000019144,PHLDB1,Q86UU1,Q86UU1-2;Q86UU1;Q86UU1-3,0.071537053,0.044764438,9.689344867,1.189892326
ENSG00000132478,UNK,Q9C0B0,Q9C0B0,0.039101407,0.014789834,17.72691165,1.670862151
ENSG00000169372,CRADD,P78560,P78560,0.037887993,0.011920369,18.29463978,1.764535757
ENSG00000117748,RPA2,P15927,P15927;P15927-2;P15927-3,0.02269978,0.004005147,30.53541438,2.238207034
ENSG00000185414,MRPL30,Q8TCC3,Q8TCC3;Q8TCC3-2;Q8TCC3-3,0.0245,0.011570086,28.29172166,1.777488858
ENSG00000143493,INTS7,Q9NVH2,Q9NVH2-3;Q9NVH2-2;Q9NVH2;Q9NVH2-4,0.058678957,0.032336391,11.81253409,1.33113391
ENSG00000137106,GRHPR,Q9UBQ7,Q9UBQ7;Q9UBQ7-2,0.030797727,0.010238794,22.5064394,1.830576661
ENSG00000276043,UHRF1,Q96T88,Q96T88;Q96T88-2,0.133985074,0.109993974,5.173316407,0.799456566
ENSG00000001617,SEMA3F,Q13275,Q13275-2;Q13275,0.064048419,0.03962155,10.82223714,1.242894003
ENSG00000101216,GMEB2,Q9UKD1,Q9UKD1,0.137,0.11076,5.059468471,0.796442514
ENSG00000262664,OVCA2,Q8WZ82,Q8WZ82,0.029246538,0.004554931,23.70014442,2.182343621
ENSG00000151422,FER,P16591,P16591-2;P16591;P16591-3,0.0478,0.02156,14.50098704,1.507176705
ENSG00000143379,SETDB1,Q15047,Q15047-3;Q15047;Q15047-2,0.0527,0.02646,13.15269792,1.418235621
ENSG00000143369,ECM1,Q16610,Q16610;Q16610-4,0.024790119,0.00136,27.96062337,2.707286553
ENSG00000155380,SLC16A1,P53985,P53985-2;P53985,0.025045159,0.01722,27.67589436,1.604792314
ENSG00000112877,CEP72,Q9P209,Q9P209;Q9P209-2,0.103364888,0.077491455,6.70582822,0.951571646
ENSG00000184182,UBE2F,Q969M7,Q969M7-6;Q969M7;Q969M7-2;Q969M7-7;Q969M7-3,0.060746523,0.035214001,11.41048329,1.294110083
ENSG00000105662,CRTC1,Q6UUV9,Q6UUV9-3;Q6UUV9;Q6UUV9-2,0.044,0.01776,15.75334501,1.5913825
ENSG00000117519,CNN3,Q15417,Q15417-2,0.0368,0.01056,18.83552121,1.817161543
ENSG00000104447,TRPS1,Q9UHF7,Q9UHF7;Q9UHF7-3;Q9UHF7-2,0.058143529,0.032000331,11.92131246,1.335670987
ENSG00000109189,USP46,P62068,P62068-3,0.0947,0.06846,7.319400006,1.005388566
ENSG00000143850,PLEKHA6,Q9Y2H5,Q9Y2H5,0.0471,0.02086,14.71650065,1.521511157
ENSG00000175895,PLEKHF2,Q9H8W4,Q9H8W4,0.032243449,0.00826,21.49730265,1.923845414
ENSG00000159267,HLCS,P50747,P50747,0.05377425,0.026126106,12.88994595,1.423750781
ENSG00000127054,CPSF3L,Q5TA45,Q5TA45-2;Q5TA45-3;Q5TA45,0.077283245,0.052274051,8.968919177,1.122539305
ENSG00000165434,PGM2L1,Q6PCE3,Q6PCE3,0.029,0.005464723,23.90162692,2.10325729
ENSG00000168476,REEP4,Q9H6H4,Q9H6H4-2;Q9H6H4,0.0534,0.02716,12.98028428,1.406895695
ENSG00000165480,SKA3,Q8IX90,Q8IX90;Q8IX90-3;Q8IX90-2,0.0966,0.07107,7.175436652,0.989139146
ENSG00000126458,RRAS,P10301,P10301,0.0259,0.005894676,26.7624394,2.070365554
ENSG00000172889,EGFL7,Q9UHF1,Q9UHF1,0.0636,0.04112,10.89854057,1.226772355
ENSG00000074696,HACD3,Q9P035,Q9P035-2;Q9P035,0.0205,#NUM!,33.81205759,NA
ENSG00000100281,HMGXB4,Q9UGU5,Q9UGU5,0.039,0.01276,17.77300463,1.734974787
ENSG00000100804,PSMB5,P28074,P28074;P28074-2,0.030542593,0.075911581,22.69444431,0.960517422
ENSG00000116830,TTF2,Q9UNY4,Q9UNY4;Q9UNY4-2,0.135941164,0.110397558,5.098876319,0.797865993
ENSG00000164053,ATRIP,Q8WXE1,Q8WXE1-5;Q8WXE1-3;Q8WXE1-2;Q8WXE1,0.0581,0.03186,11.93024407,1.33757969
ENSG00000011376,LARS2,Q15031,Q15031,0.033941715,0.010804147,20.42169012,1.807234962
ENSG00000166997,CNPY4,Q8N129,Q8N129,0.018041619,0.003395468,38.41934572,2.309925874
ENSG00000126858,RHOT1,Q8IXI2,Q8IXI2-4;Q8IXI2;Q8IXI2-5;Q8IXI2-2;Q8IXI2-7;Q8IXI2-3,0.049006122,0.024253066,14.14409366,1.456058816
ENSG00000122299,ZC3H7A,Q8IWR0,Q8IWR0;Q8IWR0-2,0.041841367,0.019141223,16.56607393,1.558855789
ENSG00000008838,MED24,O75448,O75448-2;O75448,0.046249541,0.02387,14.98711495,1.462973042
ENSG00000164985,PSIP1,O75475,O75475-2,0.091586025,0.066931065,7.568263603,1.015197729
ENSG00000188820,FAM26F,Q5R3K3,Q5R3K3,0.0201,#NUM!,34.48493436,NA
ENSG00000163950,SLBP,Q14493,Q14493;Q14493-2,0.218,0.19176,3.179574223,0.55806744
ENSG00000113387,SUB1,P53999,P53999,0.033161423,0.008759429,20.90221438,1.898349654
ENSG00000110237,ARHGEF17,Q96PE2,Q96PE2,0.037738044,0.01220744,18.3673317,1.75420085
ENSG00000101294,HM13,Q8TCT9,Q8TCT9-5;Q8TCT9;Q8TCT9-4;Q8TCT9-2,0.033882149,0.010039681,20.45759219,1.839105536
ENSG00000102362,SYTL4,Q96C24,Q96C24,0.046,0.02352,15.06841697,1.469388144
ENSG00000120896,SORBS3,O60504,O60504;O60504-2,0.031187017,0.007691242,22.22550464,1.954828998
ENSG00000111142,METAP2,P50579,P50579-2,0.043981814,0.020660571,15.7598587,1.525683138
ENSG00000120370,GORAB,Q5T7V8,Q5T7V8;Q5T7V8-3;Q5T7V8-4;Q5T7V8-2,0.033227248,0.00926,20.86080628,1.874214474
ENSG00000273841,TAF9,Q16594,Q16594,0.127,0.10076,5.457851815,0.837537302
ENSG00000103507,BCKDK,O14874,O14874-2;O14874-3;O14874,0.159,0.13652,4.35941623,0.705629181
ENSG00000155100,OTUD6B,Q8N6M0,Q8N6M0;Q8N6M0-2,0.033899558,0.01027,20.44708637,1.829255017
ENSG00000184634,MED12,Q93074,Q93074-3;Q93074;Q93074-2,0.078441507,0.053182038,8.836484767,1.115060482
ENSG00000120837,NFYB,P25208,P25208,0.0366,0.011135942,18.93844756,1.794098508
ENSG00000143337,TOR1AIP1,Q5JTV8,Q5JTV8,0.0302,0.012101587,22.9518934,1.757983145
ENSG00000159055,MIS18A,Q9NYP9,Q9NYP9,0.10414173,0.078576561,6.655806258,0.945532445
ENSG00000120437,ACAT2,Q9BWD1,Q9BWD1;Q9BWD1-2,0.027736979,0.005515107,24.99000278,2.099271556
ENSG00000162961,DPY30,Q9C005,Q9C005,0.0189,0.00066,36.674454,3.021281526
ENSG00000149273,RPS3,P23396,P23396;P23396-2,0.028649956,0.00612,24.19365571,2.054074039
ENSG00000063601,MTMR1,Q13613,Q13613;Q13613-2,0.047470412,0.021532213,14.60166773,1.507736792
ENSG00000141480,ARRB2,P32121,P32121-5;P32121-2;P32121;P32121-3;P32121-4,0.050504257,0.024599598,13.72452974,1.449897459
ENSG00000033178,UBA6,A0AVT1,A0AVT1;A0AVT1-3;A0AVT1-4,0.029914879,0.00745933,23.17064946,1.968125656
ENSG00000167615,LENG8,Q96PV6,Q96PV6-2;Q96PV6,0.0543,0.02877,12.76514145,1.381885599
ENSG00000135046,ANXA1,P04083,P04083,0.034104838,0.009460613,20.32401307,1.86490618
ENSG00000132604,TERF2,Q15554,Q15554,0.0432,0.02046,16.04507362,1.529919832
ENSG00000184924,PTRHD1,Q6GMV3,Q6GMV3,0.0257,0.003544207,26.97070741,2.291306438
ENSG00000133059,DSTYK,Q6XUX3,Q6XUX3-2;Q6XUX3;Q6XUX3-4,0.0128,#NUM!,54.15212348,NA
ENSG00000189308,LIN54,Q6MZP7,Q6MZP7;Q6MZP7-3;Q6MZP7-2;Q6MZP7-4,0.082519331,0.058408742,8.399815796,1.074347605
ENSG00000128989,ARPP19,P56211,P56211-2;P56211,0.043722763,0.018813655,15.85323373,1.566352294
ENSG00000143919,CAMKMT,Q7Z624,Q7Z624;Q7Z624-2,0.068307393,0.039898376,10.14746934,1.239870243
ENSG00000165782,TMEM55B,Q86T03,Q86T03;Q86T03-2,0.019124069,0.07006,36.24475497,0.995355328
ENSG00000149308,NPAT,Q14207,Q14207,0.189,0.16626,3.6674454,0.620037685
ENSG00000166912,MTMR10,Q9NXD2,Q9NXD2;Q9NXD2-2,0.036364818,0.010367806,19.060928,1.825138601
ENSG00000155508,CNOT8,Q9UFF9,Q9UFF9-2;Q9UFF9-3;Q9UFF9,0.211,0.18476,3.285057728,0.574217507
ENSG00000068308,OTUD5,Q96G74,Q96G74-3;Q96G74-5;Q96G74;Q96G74-2;Q96G74-4,0.106442473,0.082471355,6.511941735,0.924522331
ENSG00000135002,RFK,Q969G6,Q969G6,0.0602,0.03467,11.51407277,1.300871619
ENSG00000138386,NAB1,Q13506,Q13506;Q13506-2,0.101664153,0.075411831,6.818009694,0.963385978
ENSG00000165629,ATP5C1,P36542,P36542-2;P36542,0.0226,0.00512,30.67022923,2.1315555
ENSG00000196639,HRH1,P35367,P35367,0.0713,0.04506,9.721559335,1.187034274
ENSG00000179051,RCC2,Q9P258,Q9P258,0.029833035,0.00566,23.23421575,2.08800903
ENSG00000125166,GOT2,P00505,P00505;P00505-2,0.0273,0.00256,25.39000661,2.432585496
ENSG00000168040,FADD,Q13158,Q13158,0.064696213,0.039669263,10.71387561,1.242371333
ENSG00000143742,SRP9,P49458,P49458;P49458-2,0.040998049,0.018382361,16.90683342,1.576424168
ENSG00000154845,PPP4R1,Q8TF05,Q8TF05-2;Q8TF05,0.035245709,0.009939688,19.6661438,1.843452703
ENSG00000167315,ACAA2,P42765,P42765,0.026792723,0.00656,25.87072555,2.023921622
ENSG00000147862,NFIB,O00712,O00712;O00712-5;O00712-4;O00712-6,0.033340066,0.00916,20.79021622,1.878929987
ENSG00000107338,SHB,Q15464,Q15464;Q15464-2,0.089296081,0.065309887,7.762347198,1.025846526
ENSG00000230989,HSBP1,O75506,O75506,0.111995536,0.086112584,6.189060811,0.905758837
ENSG00000111752,PHC1,P78364,P78364,0.041251424,0.017093344,16.80298787,1.607998435
ENSG00000072062,PRKACA,P17612,P17612;P17612-2,0.0273,0.008576316,25.39000661,1.907524675
ENSG00000141428,C18orf21,Q32NC0,Q32NC0-2;Q32NC0,0.079542944,0.055255436,8.714125256,1.098450452
ENSG00000100908,EMC9,Q9Y3B6,Q9Y3B6,0.074949983,0.0492205,9.248129884,1.148679442
ENSG00000115935,WIPF1,O43516,O43516;O43516-3;O43516-4,0.04004872,0.01427591,17.30759872,1.686221666
ENSG00000114491,UMPS,P11172,P11172;P11172-3;P11172-2;P11172-4,0.030883815,0.00626412,22.44370364,2.043965389
ENSG00000117528,ABCD3,P28288,P28288-2;P28288,0.0133,#NUM!,52.11632937,NA
ENSG00000133895,MEN1,O00255,O00255-2;O00255;O00255-3,0.077847286,0.053430134,8.903935032,1.113039199
ENSG00000151247,EIF4E,P06730,P06730;P06730-3;P06730-2,0.028948921,0.00646,23.94380059,2.030592943
ENSG00000175029,CTBP2,P56545,P56545;P56545-2,0.043675622,0.017627229,15.87034462,1.594641416
ENSG00000051180,RAD51,Q06609,Q06609-3;Q06609;Q06609-4;Q06609-2,0.121,0.107816637,5.728489096,0.80813968
ENSG00000119541,VPS4B,O75351,O75351,0.039167078,0.016574993,17.69718896,1.621372102
ENSG00000114686,MRPL3,P09001,P09001,0.048158488,0.023839698,14.39304273,1.463524712
ENSG00000005156,LIG3,P49916,P49916-3;P49916;P49916-4;P49916-2,0.040299504,0.01586544,17.19989371,1.640373328
ENSG00000117335,CD46,P15529,P15529-15;P15529-12;P15529-14;P15529-11;P15529-13;P15529-10;P15529,0.033449066,0.00936,20.72246758,1.869549612
ENSG00000141012,GALNS,P34059,P34059,0.02787472,0.01226,24.86651659,1.752334991
ENSG00000082258,CCNT2,O60583,O60583-2;O60583,0.0466,0.02386,14.87440302,1.463155022
ENSG00000166747,AP1G1,O43747,O43747;O43747-2,0.028493684,0.00442,24.32634518,2.195403192
ENSG00000130489,SCO2,O43819,O43819,0.027877231,0.01646,24.86427666,1.62439563
ENSG00000092208,GEMIN2,O14893,O14893-3;O14893-2;O14893,0.0324,0.00616,21.3934315,2.051244749
ENSG00000160563,MED27,Q6P2C8,Q6P2C8-2;Q6P2C8,0.085854528,0.061886593,8.073507544,1.049228886
ENSG00000104964,AES,Q08117,Q08117;Q08117-2,0.076990389,0.051281672,9.003035177,1.130863283
ENSG00000106635,BCL7B,Q9BQE9,Q9BQE9-4;Q9BQE9;Q9BQE9-2,0.0415,0.01526,16.7023417,1.657270927
ENSG00000108100,CCNY,Q8ND76,Q8ND76-3;Q8ND76-2;Q8ND76,0.0331,0.00686,20.94100243,2.004501346
ENSG00000173545,ZNF622,Q969S3,Q969S3,0.098030097,0.072457863,7.070758867,0.98073994
ENSG00000128191,DGCR8,Q8WYQ5,Q8WYQ5-3;Q8WYQ5,0.116,0.09152,5.975406729,0.87930945
ENSG00000224877,C17orf89,A1L188,A1L188,0.0343,0.01087,20.20837261,1.804595917
ENSG00000141425,RPRD1A,Q96P16,Q96P16;Q96P16-3,0.037542509,0.013433436,18.46299554,1.712638354
ENSG00000177119,ANO6,Q4KMQ2,Q4KMQ2-3;Q4KMQ2;Q4KMQ2-4;Q4KMQ2-2,0.0224,0.00456,30.94407056,2.181860618
ENSG00000109519,GRPEL1,Q9HAV7,Q9HAV7,0.037500667,0.013372853,18.48359622,1.714601387
ENSG00000147459,DOCK5,Q9H7D0,Q9H7D0,0.03129984,0.00872,22.14539036,1.900308976
ENSG00000205581,HMGN1,P05114,P05114,0.046037485,0.020026388,15.05614793,1.539222844
ENSG00000154096,THY1,P04216,P04216,0.04031625,0.10352,17.19274941,0.825801198
ENSG00000105676,ARMC6,Q6NXE6,Q6NXE6-2;Q6NXE6,0.061288253,0.035749866,11.3096253,1.287551046
ENSG00000142871,CYR61,O00622,O00622,0.184883747,0.160862595,3.749097424,0.634370391
ENSG00000186222,BLOC1S4,Q9NUP1,Q9NUP1,0.054792609,0.02925616,12.65037737,1.374608138
ENSG00000023191,RNH1,P13489,P13489,0.041728168,0.016163722,16.61101397,1.632284096
ENSG00000026103,FAS,P25445,P25445-6;P25445,0.0255,#NUM!,27.18224237,NA
ENSG00000072778,ACADVL,P49748,P49748;P49748-3;P49748-2,0.027846364,0.006297237,24.89183777,2.041675389
ENSG00000196591,HDAC2,Q92769,Q92769-3;Q92769,0.042698946,0.017687781,16.2333557,1.593152106
ENSG00000134058,CDK7,P50613,P50613,0.0637,0.03746,10.88143141,1.267257688
ENSG00000131389,SLC6A6,P31641,P31641;P31641-2,0.0307,0.006784335,22.57808406,2.009318183
ENSG00000175115,PACS1,Q6VY07,Q6VY07;Q6VY07-2,0.069098842,0.044681867,10.0312416,1.190694154
ENSG00000160293,VAV2,P52735,P52735-3;P52735-2;P52735,0.038690438,0.011704538,17.91520631,1.772471201
ENSG00000155393,HEATR3,Q7Z4Q2,Q7Z4Q2;Q7Z4Q2-2;Q7Z4Q2-3,0.0362,0.014752905,19.14771217,1.671947921
ENSG00000181192,DHTKD1,Q96HY7,Q96HY7,0.0412,0.01872,16.82396069,1.568519617
ENSG00000082515,MRPL22,Q9NWU5,Q9NWU5;Q9NWU5-2;Q9NWU5-3,0.0342,0.00867,20.26746142,1.902806364
ENSG00000075151,EIF4G3,O43432,O43432;O43432-3;O43432-4,0.033736627,0.008538571,20.54583527,1.909440251
ENSG00000105726,ATP13A1,Q9HD20,Q9HD20-2;Q9HD20,0.033779876,0.02892,20.51953025,1.379627172
ENSG00000105447,GRWD1,Q9BQ67,Q9BQ67,0.032588341,0.01067,21.26979003,1.812661042
ENSG00000181019,NQO1,P15559,P15559-3;P15559-2;P15559,0.025020192,0.00817,27.70351182,1.928603405
ENSG00000047230,CTPS2,Q9NRF8,Q9NRF8,0.0215,0.00237,32.23940375,2.466077115
ENSG00000114030,KPNA1,P52294,P52294,0.03708652,0.012709571,18.69000305,1.736694563
ENSG00000103381,CPPED1,Q9BRF8,Q9BRF8;Q9BRF8-2;Q9BRF8-3,0.0274,0.035606651,25.29734236,1.289294333
ENSG00000227057,WDR46,O15213,O15213,0.062485038,0.03673491,11.09301043,1.275746483
ENSG00000130640,TUBGCP2,Q9BSJ2,Q9BSJ2;Q9BSJ2-4,0.046484514,0.020224431,14.91135709,1.534949154
ENSG00000172260,NEGR1,Q7Z3B1,Q7Z3B1,0.0256,0.00312,27.07606174,2.346670867
ENSG00000126790,L3HYPDH,Q96EM0,Q96EM0,0.033290389,0.00967,20.82124004,1.855398987
ENSG00000147471,PROSC,O94903,O94903,0.024694939,0.00166,28.06839035,2.620717373
ENSG00000134900,TPP2,P29144,P29144,0.028049599,0.004971438,24.71148277,2.144343396
ENSG00000166130,IKBIP,Q70UQ0,Q70UQ0-4,0.040499877,0.016454714,17.11479737,1.624535133
ENSG00000185236,RAB11B,Q15907,Q15907,0.0295,0.00676,23.4965146,2.010878765
ENSG00000100916,BRMS1L,Q5PSV4,Q5PSV4-2;Q5PSV4,0.0248,#NUM!,27.94948309,NA
ENSG00000069849,ATP1B3,P54709,P54709;P54709-2,0.025140803,0.00236,27.57060572,2.467913458
ENSG00000160392,C19orf47,Q8N9M1,Q8N9M1-2;Q8N9M1;Q8N9M1-3,0.043445138,0.018527525,15.9545398,1.573008042
ENSG00000163684,RPP14,O95059,O95059,0.0577,0.03217,12.0129494,1.3333744
ENSG00000104613,INTS10,Q9NVR2,Q9NVR2,0.052970747,0.028268594,13.08547122,1.389521254
ENSG00000176986,SEC24C,P53992,P53992;P53992-2,0.033013634,0.008634547,20.99578586,1.904585909
ENSG00000178386,ZNF223,Q9UK11,Q9UK11,0.0378,0.01532,18.337227,1.655566696
ENSG00000126214,KLC1,Q07866,Q07866-8,0.0237,0.02866,29.24671648,1.383549275
ENSG00000185022,MAFF,Q9ULX9,Q9ULX9-2;Q9ULX9,0.106553273,0.082088655,6.505170237,0.926542324
ENSG00000106443,PHF14,O94880,O94880-2,0.0525,0.03002,13.20280344,1.363414773
ENSG00000122970,IFT81,Q8WYA0,Q8WYA0;Q8WYA0-4,0.052409923,0.026049752,13.22549518,1.425021861
ENSG00000086666,ZFAND6,Q6FIF0,Q6FIF0-2;Q6FIF0,0.145996575,0.119755825,4.747694794,0.762528814
ENSG00000165832,TRUB1,Q8WWH5,Q8WWH5,0.0556,0.03286,12.46667591,1.324157902
ENSG00000147140,NONO,Q15233,Q15233;Q15233-2,0.034883807,0.010495066,19.87017007,1.819840307
ENSG00000120802,TMPO,P42167,P42167;P42167-2,0.031999375,0.00972,21.66127247,1.853159196
