EnsemblGeneID,GeneName.x,BCells_ProHL,NKCells_ProHL,Hepatocytes_ProHL,Monocytes_ProHL
ENSG00000000419,DPM1,2.087703351,2.362243019,1.929237506,1.940048071
ENSG00000000938,FGR,NA,2.279415966,NA,1.967793601
ENSG00000000971,CFH,NA,NA,1.271597683,NA
ENSG00000001036,FUCA2,NA,NA,1.642241875,1.456760667
ENSG00000001084,GCLC,2.148701347,2.235748064,2.770145525,1.497220003
ENSG00000001167,NFYA,2.059044378,2.316357262,NA,NA
ENSG00000001497,LAS1L,1.859732568,2.418012771,1.87428463,1.931045757
ENSG00000001561,ENPP4,2.304744654,2.758835468,1.840529513,NA
ENSG00000001629,ANKIB1,NA,NA,NA,NA
ENSG00000001630,CYP51A1,NA,NA,1.290502061,NA
ENSG00000001631,KRIT1,NA,NA,NA,1.747139803
ENSG00000002330,BAD,2.157985337,NA,1.676391784,NA
ENSG00000002549,LAP3,1.981902379,2.618981089,2.298063427,2.024007188
ENSG00000002586,CD99,1.976680046,2.099829063,NA,1.462719856
ENSG00000002746,HECW1,NA,NA,NA,NA
ENSG00000002822,MAD1L1,1.877921066,2.531810898,1.599648402,1.656194062
ENSG00000002834,LASP1,2.196514698,2.659813554,2.003145899,1.925786358
ENSG00000002919,SNX11,1.562578334,NA,1.544972915,NA
ENSG00000003056,M6PR,2.045170362,2.368212481,2.176860726,1.725719749
ENSG00000003147,ICA1,NA,NA,NA,NA
ENSG00000003249,DBNDD1,NA,NA,NA,NA
ENSG00000003393,ALS2,NA,NA,NA,NA
ENSG00000003400,CASP10,NA,NA,NA,1.92969219
ENSG00000003436,TFPI,NA,NA,1.291857046,NA
ENSG00000003509,NDUFAF7,1.919553986,NA,1.814953084,1.694587651
ENSG00000003756,RBM5,1.506071875,1.67669361,1.318365983,1.360081955
ENSG00000003987,MTMR7,NA,NA,NA,NA
ENSG00000003989,SLC7A2,NA,NA,1.317373763,NA
ENSG00000004059,ARF5,1.942568551,NA,2.40745974,1.832438654
ENSG00000004139,SARM1,1.870807576,NA,NA,NA
ENSG00000004142,POLDIP2,1.609951728,1.900093902,1.622954491,1.593297146
ENSG00000004399,PLXND1,NA,NA,NA,1.251796338
ENSG00000004455,AK2,2.330916776,2.956043985,2.276995727,2.522797525
ENSG00000004468,CD38,NA,NA,NA,2.649329016
ENSG00000004478,FKBP4,1.751090407,NA,NA,1.589703915
ENSG00000004487,KDM1A,1.804779834,2.163988312,1.522078907,1.791715205
ENSG00000004534,RBM6,1.683852709,1.966737598,1.390263727,1.573521396
ENSG00000004660,CAMKK1,NA,NA,NA,NA
ENSG00000004700,RECQL,2.339667044,2.72931871,1.755966276,1.99808925
ENSG00000004766,VPS50,NA,NA,NA,NA
ENSG00000004779,NDUFAB1,NA,NA,2.259034526,NA
ENSG00000004848,ARX,NA,NA,NA,NA
ENSG00000004864,SLC25A13,2.142179778,NA,2.750787935,2.052033728
ENSG00000004866,ST7,NA,NA,1.876391062,NA
ENSG00000004897,CDC27,1.712624451,NA,1.422056081,1.618168427
ENSG00000004939,SLC4A1,2.519561562,NA,NA,NA
ENSG00000004961,HCCS,NA,NA,1.606596309,1.592992376
ENSG00000004975,DVL2,1.350732452,1.615076378,NA,NA
ENSG00000005007,UPF1,1.630570243,1.832330049,1.709227547,1.609178055
ENSG00000005020,SKAP2,NA,2.029513641,NA,1.872994904
ENSG00000005022,SLC25A5,2.353156176,2.885799817,2.158312726,2.198362877
ENSG00000005075,POLR2J,NA,NA,1.686618397,1.769871904
ENSG00000005108,THSD7A,NA,NA,NA,NA
ENSG00000005156,LIG3,1.935721337,2.361597528,1.8051541,1.987710943
ENSG00000005175,RPAP3,1.573376437,1.820913749,1.797752129,NA
ENSG00000005187,ACSM3,NA,NA,2.533273693,NA
ENSG00000005194,CIAPIN1,1.676789601,2.194422756,NA,1.830434682
ENSG00000005206,SPPL2B,1.371086342,NA,1.617157666,NA
ENSG00000005249,PRKAR2B,NA,NA,NA,NA
ENSG00000005302,MSL3,1.670672514,NA,NA,NA
ENSG00000005339,CREBBP,1.444325903,NA,NA,1.377178713
ENSG00000005381,MPO,NA,NA,1.741064889,NA
ENSG00000005421,PON1,NA,NA,2.278049016,NA
