GeneName	EnsemblGeneID	EnsemblTranscriptID	EnsemblProteinID	Adrenal	Appendices	Brain	Colon	Duodenum	Uterus	Esophagus	Fallopiantube	Fat	Gallbladder	Heart	Kidney	Liver	Lung	Lymphnode	Ovary	Pancreas	Placenta	Prostate	Rectum	Salivarygland	Smallintestine	Smoothmuscle	Spleen	Stomach	Testis	Thyroid	Tonsil	Urinarybladder
A1BG	ENSG00000121410	ENST00000263100	ENSP00000263100	NA	8.277	NA	NA	NA	NA	NA	7.841	NA	NA	NA	NA	4.931	7.544	7.713	NA	NA	NA	NA	NA	7.718	NA	NA	7.313	NA	NA	NA	NA	NA
A1CF	ENSG00000148584	ENST00000373993	ENSP00000363105	NA	NA	NA	5.135	5.371	NA	NA	NA	NA	5.425	NA	5.659	5.531	NA	NA	NA	6	NA	NA	5.147	NA	5.202	NA	NA	5.8143	NA	NA	NA	NA
A2M	ENSG00000175899	ENST00000318602	ENSP00000323929	6.29	6.328	5.948	5.811	6.068	5.383	5.881	6.119	6.41	5.828	5.108	5.482	4.877	4.959	6.126	6.243	5.55	5.903	5.68	6.081	5.726	5.699	4.997	5.136	6.5349	5.82	6.06	5.675	5.8286
A2ML1	ENSG00000166535	ENST00000299698	ENSP00000299698	NA	NA	3.995	NA	NA	NA	4.129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.35	NA	5.249	NA
A4GALT	ENSG00000128274	ENST00000401850	ENSP00000384794	3.843	4.601	NA	NA	NA	NA	4.013	3.683	NA	NA	NA	4.535	NA	4.846	NA	NA	NA	2.537	NA	4.731	4.508	NA	NA	NA	4.0613	4.832	NA	NA	4.243
A4GNT	ENSG00000118017	ENST00000236709	ENSP00000236709	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.3992	NA	NA	NA	NA
AAAS	ENSG00000094914	ENST00000209873	ENSP00000209873	4.513	4.434	4.461	4.536	4.917	4.677	4.164	4.275	4.202	5.513	3.925	4.449	4.11	5.086	4.572	4.594	4.299	5.058	4.771	4.44	4.35	4.12	4.241	3.975	5.089	4.991	4.651	4.505	4.4699
AACS	ENSG00000081760	ENST00000316519	ENSP00000324842	4.559	5.015	5.12	4.426	5.285	4.64	4.015	4.46	4.823	4.719	4.862	4.889	5.576	5.019	4.602	4.781	4.602	5.07	4.956	4.817	4.807	4.395	4.31	NA	4.7653	4.552	4.588	4.901	4.8409
AADAC	ENSG00000114771	ENST00000232892	ENSP00000232892	5.11	NA	NA	NA	5.008	NA	NA	NA	5.18	5.263	NA	NA	4.969	3.949	NA	NA	5.237	5.202	NA	NA	NA	5.076	NA	NA	4.7098	NA	NA	NA	NA
AADAT	ENSG00000109576	ENST00000515480	ENSP00000423341	5.227	NA	4.165	4.115	NA	4.801	5.671	3.805	4.962	5.573	4.24	4.831	5.658	4.121	NA	4.059	2.688	5.247	3.807	4.282	NA	NA	NA	NA	4.5203	3.657	3.563	NA	4.2271
AAGAB	ENSG00000103591	ENST00000261880	ENSP00000261880	5.587	4.34	4.659	4.003	4.786	4.688	4.409	4.381	4.585	4.687	4.476	4.177	5.858	4.603	4.387	4.999	3.904	4.423	4.745	4.45	5.053	4.525	3.931	4.245	4.5071	4.952	4.061	4.51	4.498
AAK1	ENSG00000115977	ENST00000409085	ENSP00000386456	6.244	6.019	6.404	NA	6.477	6.593	NA	NA	5.993	NA	6.308	6.346	NA	NA	6.223	NA	5.878	6.723	6.53	NA	NA	6.25	NA	6.11	6.2633	6.103	6.34	NA	NA
AAMDC	ENSG00000087884	ENST00000526415	ENSP00000431808	5.009	6.222	5.63	5.852	4.94	6.181	6.494	6.146	5.688	5.472	6.085	5.743	5.242	5.311	5.857	5.408	5.372	5.237	5.218	6.05	5.657	5.475	6.003	5.825	5.5296	5.658	5.759	5.631	5.7326
AAMP	ENSG00000127837	ENST00000420660	ENSP00000416394	4.362	5.053	4.822	4.403	4.729	4.459	4.543	4.477	4.132	4.252	NA	4.455	4.443	4.847	4.643	4.187	4.463	4.263	4.238	4.576	4.62	4.463	4.302	4.965	4.6058	4.617	4.283	4.736	4.704
AAR2	ENSG00000131043	ENST00000373932	ENSP00000363043	5.025	5.024	4.501	4.497	4.685	4.361	4.432	4.65	3.951	4.292	4.314	3.989	4.705	4.549	4.827	4.406	5.48	4.706	4.413	4.944	4.171	4.642	4.411	4.591	4.4975	5.109	4.678	5.116	4.4193
AARD	ENSG00000205002	ENST00000378279	ENSP00000367528	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.325	NA	NA	NA
