Gene_ID	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3	testis_1	testis_2	testis_3
ENSG00000000003	10.0917	10.6304	8.9517	86.3753	4.6905	2.7035	217.1417	115.6497	0.1825
ENSG00000000005	0.1217	0	0.454	NA	NA	NA	NA	NA	NA
ENSG00000000419	39.8939	35.9375	42.0142	30.6686	14.1774	11.148	81.2512	48.7927	28.6192
ENSG00000000457	7.9059	5.4893	8.2621	3.7719	3.0606	3.1974	8.3317	7.635	3.804
ENSG00000000460	2.8142	1.7501	2.0877	4.8967	0.1536	0.321	27.9335	18.3444	3.4602
ENSG00000000938	0.8186	0.7748	0.7349	9.4932	8.7834	11.6855	1.0789	1.0922	7.591
ENSG00000000971	3.5802	4.5435	3.5992	1168.7733	6.6314	13.4859	9.0404	1.6601	3.605
ENSG00000001036	11.6393	15.8859	13.412	30.1646	17.0035	23.5363	13.9711	6.1844	24.3108
ENSG00000001084	40.9895	48.2717	37.9912	32.7832	64.11	59.2218	12.3137	6.4116	17.946
ENSG00000001167	15.4201	23.6052	19.1681	4.9588	14.1774	10.6304	65.1534	91.698	61.0255
ENSG00000001460	10.6286	10.3558	13.472	0.6206	0.2375	0.6204	49.7223	91.451	3.0602
ENSG00000001461	101.0887	113.7959	83.5152	4.0302	2.6933	3.709	4.4591	4.5512	12.8966
ENSG00000001497	19.4699	12.855	13.6964	5.328	14.7404	15.9201	23.8802	14.5962	38.0024
ENSG00000001561	52.3461	66.5027	73.6154	10.1665	0	0	19.4946	12.4102	0.4764
ENSG00000001617	1.1227	1.0067	1.2429	3.904	8.3978	3.1462	1.2336	0.5892	7.9439
ENSG00000001626	0.3792	0.5668	0.7857	6.7004	0.2829	0.197	1.5785	2.4502	0.3052
ENSG00000001629	80.1355	116.6464	69.3912	11.9376	5.684	5.938	67.5128	54.5402	19.4473
ENSG00000001630	67.7235	61.1074	81.1295	45.3324	26.6034	44.2555	134.1831	94.8565	7.8478
ENSG00000001631	25.0183	39.7934	43.5795	11.2841	0.054	0.0564	56.8737	39.2713	0.8022
ENSG00000002016	9.7143	2.9583	7.0061	1.4212	6.346	3.4726	4.5094	4.3748	12.5617
ENSG00000002330	64.0358	41.6898	61.7833	17.2233	93.4667	54.8474	40.8959	39.1615	106.7429
ENSG00000002549	26.4512	30.554	29.0755	65.8601	68.644	58.7634	72.9154	59.2729	35.5205
ENSG00000002586	38.3568	74.8293	26.6588	211.4862	265.468	204.0309	293.8991	153.6323	659.9732
ENSG00000002587	7.2777	5.1925	7.1984	NA	NA	NA	4.8118	1.8673	33.143
ENSG00000002726	NA	NA	NA	2.3777	31.0051	10.5573	1.3885	12.5471	1.1697
ENSG00000002745	3.2927	1.8896	2.2512	NA	NA	NA	NA	NA	NA
ENSG00000002746	63.8786	51.8989	60.3507	NA	NA	NA	2.7778	6.1289	1.9104
