Gene_ID	brain_1	brain_2	brain_3	liver_1	liver_2	liver_3	testis_1	testis_2	testis_3
ENSG00000000003	16.7478	23.4142	17.261	126.121	163.0808	119.4748	74.4935	83.0535	115.2692
ENSG00000000005	0.1334	0	0	NA	NA	NA	NA	NA	NA
ENSG00000000419	58.3346	47.8733	65.1703	19.3838	37.3167	39.2719	155.226	137.1112	104.4687
ENSG00000000457	6.8995	4.4346	7.0203	2.4547	5.7705	4.3823	10.5389	9.0699	8.0497
ENSG00000000460	1.0942	1.1508	0.904	0.6755	0.5516	0.5816	39.6575	25.0274	11.3531
ENSG00000000938	0.4485	0.3189	0.3019	0.5777	0.3081	0.3411	0.4282	0.3353	1.1879
ENSG00000000971	11.7044	23.1546	11.3188	2003.4565	1897.7486	1625.1751	26.621	31.9318	188.6614
ENSG00000001036	11.0324	22.6702	10.0199	21.5581	25.1026	20.1993	28.2672	48.1928	74.8206
ENSG00000001084	46.9004	60.71	32.2744	15.1739	45.5418	49.0368	24.928	27.1885	30.6373
ENSG00000001167	12.9766	20.0089	15.0035	4.0639	8.2578	5.8869	42.7409	38.051	24.9516
ENSG00000001460	15.3599	13.1375	14.3164	0.3482	0.4874	0.4796	5.9948	8.3949	2.3135
ENSG00000001461	56.4212	79.0024	63.7468	1.4804	0.6782	0.8858	5.5766	5.0378	7.0713
ENSG00000001497	11.7301	10.1314	10.8053	4.0612	8.8803	9.1286	58.6061	41.0635	45.785
ENSG00000001561	127.2796	173.3506	120.7471	12.7814	9.0631	13.6111	76.4896	66.5998	69.0717
ENSG00000001617	0.7688	0.8138	1.0033	1.8676	1.1884	0.3801	1.3407	0.9391	1.4303
ENSG00000001626	0	0.2046	0	1.9002	0.6771	0.3173	1.4582	0.5786	0.1586
ENSG00000001629	27.6214	25.169	21.1266	1.0014	1.9737	2.0416	40.8425	28.5549	24.3136
ENSG00000001630	134.2246	110.4406	108.3091	40.7376	53.9304	86.903	498.175	429.689	186.0795
ENSG00000001631	12.99	10.3381	13.5603	1.1672	3.0795	4.5874	40.6732	36.7604	21.6812
ENSG00000002016	4.8201	1.9775	5.0542	2.1039	1.6741	1.9322	8.2028	4.0127	4.8296
ENSG00000002330	24.6909	34.6977	42.7498	11.0427	18.9849	15.4103	23.6946	35.912	45.324
ENSG00000002549	54.2332	66.2978	49.428	92.1601	159.8631	108.0923	116.7736	102.7812	98.5587
ENSG00000002586	59.3514	192.0943	31.299	166.4133	200.1935	122.6686	837.6824	728.7543	1117.4242
ENSG00000002587	4.0301	5.0235	7.9921	NA	NA	NA	0.5883	2.9764	3.8079
ENSG00000002726	NA	NA	NA	1.2408	7.1652	2.3325	0.5821	1.745	0.2193
ENSG00000002745	2.0926	3.7301	1.8832	NA	NA	NA	NA	NA	NA
ENSG00000002746	36.9854	26.5866	35.9815	NA	NA	NA	1.0351	0.9273	0.4546
ENSG00000002822	13.2601	12.1883	11.8799	1.6222	3.1679	2.7469	23.9686	14.2206	18.1169
ENSG00000002834	108.9662	128.0847	118.6627	57.5957	100.6789	55.1183	24.3181	55.1414	137.9638
ENSG00000002919	16.9082	16.3125	15.8049	1.614	2.3498	2.174	10.5289	11.349	9.6797
ENSG00000002933	12.9812	32.505	7.4056	1280.3644	695.4274	528.6168	6.8008	18.3029	94.321
ENSG00000003056	123.8322	110.33	123.1228	43.5296	43.7273	38.1708	185.7974	149.8697	162.1372
ENSG00000003096	7.1617	6.4587	7.7375	0.82	1.7218	5.6242	7.3667	8.2594	11.5963
ENSG00000003137	19.2025	15.3591	25.2875	NA	NA	NA	28.8847	19.025	22.1486
ENSG00000003147	48.341	23.1147	49.0395	0.4008	2.8897	1.0123	24.7764	13.536	4.2953
ENSG00000003249	20.4877	17.8088	21.4082	0.5748	0.4097	0.192	NA	NA	NA
ENSG00000003393	14.5669	9.3947	15.7671	1.5301	4.279	5.4836	7.4314	6.9088	6.7987
ENSG00000003400	1.2119	0.4972	1.9533	3.9864	6.1659	5.21	1.6459	1.4224	8.484
ENSG00000003402	11.7225	10.9747	9.5443	10.3665	13.833	28.3526	34.9857	30.1519	31.2884
ENSG00000003436	6.4077	5.4566	3.7529	309.0436	325.8105	435.0835	28.4376	49.1196	126.651
ENSG00000003509	20.3751	12.0313	21.8311	3.9913	9.8079	7.3311	44.5361	45.8157	16.3406
ENSG00000003756	38.0452	36.4436	46.3566	7.951	18.0989	20.3474	109.2914	89.7338	92.6734
ENSG00000003987	45.9277	32.5936	42.6958	0	0.068	0.3347	1.7195	1.3018	0.3245
ENSG00000003989	12.7641	45.4972	7.7134	140.5021	93.7123	286.163	99.9048	156.9368	133.0652
ENSG00000004059	386.6648	294.3053	278.6607	44.7865	72.3484	37.1366	149.0436	216.3664	233.2933
ENSG00000004139	7.0851	6.7431	4.6176	0	0	0	3.5322	1.4509	6.5318
ENSG00000004142	66.6332	53.6289	54.4014	37.8916	68.6749	43.3266	80.1817	79.7557	80.0265
ENSG00000004399	12.7113	9.9102	12.8638	7.7517	3.7217	3.7194	9.0946	17.1699	27.0546
ENSG00000004455	16.5487	30.7473	7.5009	45.554	62.2987	43.8476	53.7156	72.5114	39.2435
ENSG00000004468	25.5325	43.4984	17.9098	6.6844	6.0213	6.2501	1.9073	2.171	21.5147
ENSG00000004478	157.4836	185.7027	181.6479	43.1054	73.2453	56.1648	105.7462	114.6679	90.6183
ENSG00000004487	57.4875	41.2299	52.4733	6.0849	13.3036	8.7513	331.3401	305.5858	116.5337
ENSG00000004534	22.1923	10.2026	19.3816	1.707	4.0272	5.3585	77.9365	36.9432	22.9577
ENSG00000004660	103.0823	85.3354	127.2136	0	0	0.186	22.5996	15.2849	16.424
ENSG00000004700	14.0379	16.2625	15.8866	5.1366	7.0713	11.7213	32.5489	27.0651	38.5352
ENSG00000004766	55.8281	29.258	47.8098	2.0094	4.0185	4.1696	27.3673	24.4346	21.0478
ENSG00000004776	13.6971	22.8545	19.5703	7.5472	2.3051	7.4038	86.0952	272.1958	492.4268
ENSG00000004777	4.8508	4.7532	4.6086	0	0	0.0273	6.0435	2.7241	1.9204
ENSG00000004779	507.2558	409.3564	510.8151	114.038	172.328	130.5301	243.2844	310.7354	287.1919
ENSG00000004799	53.5891	134.8486	23.2415	62.8134	209.787	1017.9076	23.6885	41.9035	114.6788
ENSG00000004809	NA	NA	NA	NA	NA	NA	17.4743	14.5915	3.9419
ENSG00000004838	0.2994	0.3243	0.5303	0	0.037	0.0152	87.4202	46.9279	8.1577
ENSG00000004846	NA	NA	NA	NA	NA	NA	1.4097	1.2679	0.0434
ENSG00000004848	7.482	13.4639	7.9138	NA	NA	NA	4.0026	8.2064	43.7711
ENSG00000004864	9.7475	9.3668	5.6805	26.744	100.8544	72.1291	15.5406	24.2649	27.4073
ENSG00000004866	20.0334	14.757	23.5628	5.0438	5.4132	3.45	7.9034	9.1413	5.5275
ENSG00000004897	20.1921	19.9448	22.4798	2.2522	4.8718	4.5504	22.5397	22.3015	24.565
ENSG00000004939	NA	NA	NA	NA	NA	NA	0	0	0.4051
ENSG00000004948	NA	NA	NA	NA	NA	NA	0.9398	0.4622	0.1448
ENSG00000004961	43.3948	35.3809	43.5122	11.0026	11.4114	13.9623	28.567	29.4219	18.5003
ENSG00000004975	5.9843	9.3325	5.2772	1.3797	1.7957	0.9589	11.9414	12.096	19.5902
ENSG00000005001	NA	NA	NA	0.0917	0.1284	0.1684	NA	NA	NA
ENSG00000005007	45.0956	56.6681	44.8311	9.2027	21.8619	17.401	135.1628	109.2691	106.4935
ENSG00000005020	48.9684	43.0511	60.3769	9.2339	12.246	14.5429	44.7633	53.234	34.2266
ENSG00000005022	208.983	200.5093	225.74	83.9678	186.2156	118.7401	77.7529	132.2577	174.9137
ENSG00000005059	5.0155	5.9802	5.5878	0.5293	0.2694	0.464	5.0031	10.911	7.6061
ENSG00000005073	NA	NA	NA	NA	NA	NA	1.2282	0.8284	0
ENSG00000005075	8.5049	8.264	8.7615	4.9423	9.6169	4.1418	15.3877	17.1444	17.4033
ENSG00000005100	14.1562	12.3776	16.9841	2.327	3.5285	3.338	17.0822	12.2984	20.6638
ENSG00000005102	NA	NA	NA	NA	NA	NA	1.3351	3.5379	38.2091
ENSG00000005108	11.9743	9.1784	17.6712	0	0.138	0.2263	3.7614	5.7037	7.2522
ENSG00000005156	13.3749	11.3542	13.8189	2.5262	2.7806	3.1751	35.9055	29.396	24.7725
ENSG00000005175	49.5087	38.8303	53.1677	6.1734	10.9589	8.8462	52.3455	60.2039	43.4318
ENSG00000005187	1.5846	0	0	25.5125	74.5835	92.8708	8.3514	4.5113	3.141
ENSG00000005189	1.4595	0.9444	2.7984	0.3574	0.4319	0.7688	704.1271	714.8386	105.8952
ENSG00000005194	61.5529	51.3434	67.4376	7.5461	12.4416	11.2295	73.1356	95.9466	40.7548
ENSG00000005206	13.7394	16.7513	13.5324	8.7528	8.7422	4.8886	43.3871	29.413	42.492
ENSG00000005238	3.0379	2.2434	2.3748	0.0811	0.1969	0.2112	1.7144	1.1666	1.3905
ENSG00000005243	1.502	3.7589	1.3416	4.6987	10.2921	3.8393	7.7603	14.4466	27.2089
ENSG00000005249	90.796	82.5116	105.5714	1.8442	0.7794	1.454	116.6573	164.8463	91.9061
ENSG00000005302	12.3505	9.9937	13.0318	1.6479	1.955	2.1803	27.4334	23.1841	13.8435
ENSG00000005339	15.5045	15.0146	21.2384	1.6233	3.3953	4.0422	32.0985	18.5329	19.7211
ENSG00000005379	6.4997	5.156	7.7283	0.0182	0.0712	0.0834	0.164	0.158	0.1516
ENSG00000005381	0.4419	0.7166	0.5088	0.7187	0.1725	0	0.5014	0.4697	1.2363
ENSG00000005421	4.9789	6.501	0.4035	466.6349	935.6492	490.1225	2.7401	3.0323	1.7945
ENSG00000005436	4.3904	3.8407	4.5328	1.7533	4.1543	4.1356	13.8279	13.2847	11.3094
ENSG00000005448	32.1649	27.7506	30.0532	1.6103	0.3656	0.4796	54.1532	26.2367	17.5402
ENSG00000005469	12.1494	6.8722	10.0591	8.6337	23.653	27.6317	5.5138	6.0714	9.7395
ENSG00000005471	0.3371	0.2075	0.3535	65.0851	109.8568	57.1999	2.0685	0.9391	0.4168
ENSG00000005483	14.5333	10.0995	16.6312	0.7529	1.4317	1.6926	19.6307	9.9486	8.4181
ENSG00000005486	223.2906	216.1897	220.2263	15.5784	20.3093	10.9504	27.3162	65.1629	77.2485
ENSG00000005513	14.8888	46.4233	7.0763	NA	NA	NA	0.5078	0.5199	0.6707
ENSG00000005700	9.4795	7.3268	10.9444	1.8629	8.0736	10.2798	12.3087	11.3473	8.8234
ENSG00000005801	12.816	9.1504	15.7524	1.0451	1.9166	1.3078	10.4277	10.3134	7.4826
ENSG00000005810	51.4712	25.7519	57.015	0.4808	1.5154	1.9555	31.1771	22.4168	14.4342
ENSG00000005812	77.9678	69.7684	73.9045	7.1709	11.0756	20.3969	149.6499	145.0085	118.9745
ENSG00000005844	NA	NA	NA	4.8184	4.7618	3.7734	0.4722	0.4512	7.1893
ENSG00000005882	75.6049	90.2811	70.2875	9.8271	23.3314	30.9313	27.4572	25.8308	50.5169
ENSG00000005884	12.3389	12.7177	13.3608	1.4374	0.5289	0.264	5.3475	4.8336	20.0481
ENSG00000005889	9.2044	11.2633	10.4726	2.2481	4.9613	8.6989	16.4039	14.0413	14.5463
ENSG00000005893	527.6539	1092.5795	344.8888	408.8724	386.0717	253.4142	299.5487	458.2349	545.8672
ENSG00000005961	0.3417	0.5047	0.4323	NA	NA	NA	2.719	1.6548	0.7372
ENSG00000005981	0.7113	1.0657	3.2283	NA	NA	NA	NA	NA	NA
ENSG00000006007	65.2691	55.7285	67.6561	10.847	8.4837	7.2394	42.9718	36.6434	38.0613
ENSG00000006015	57.1344	69.7088	59.8942	24.035	34.6768	37.4519	9.3099	12.8572	34.135
ENSG00000006016	8.2726	16.4139	11.144	NA	NA	NA	1.3057	1.8348	3.1187
ENSG00000006025	3.1485	3.5628	3.0076	0.1127	0.1157	0.1898	0.4971	0.6448	1.5202
ENSG00000006042	22.4543	46.3949	12.091	1.9911	5.2149	6.4	24.3538	39.1409	48.2049
