hek293	hela	k562
ENSG00000121410	1.90043281207374	NA	NA
ENSG00000128274	1.73054763400993	NA	NA
ENSG00000094914	2.42867009352439	3.00808893629158	NA
ENSG00000081760	2.1074887715082	2.31597034545692	NA
ENSG00000109576	2.10453952861725	2.68124123737559	NA
ENSG00000127837	2.2469612184541	2.89608508542329	NA
ENSG00000090861	2.17551275800526	2.78074923110355	2.22034426798094
ENSG00000124608	2.26368586723187	2.36361197989214	1.77086433591985
ENSG00000157426	1.72305691621513	2.25382243870807	NA
ENSG00000149313	2.07261422670792	2.52943035436699	2.0934773146389
ENSG00000008311	2.48299366046189	NA	NA
ENSG00000183044	2.2642129656604	NA	NA
ENSG00000107331	2.54164131492618	2.43136376415899	NA
ENSG00000167972	2.31516231298835	NA	NA
ENSG00000154265	2.49680913362756	NA	NA
ENSG00000064687	2.56117443720507	2.3392526340327	NA
ENSG00000085563	2.40018293467391	NA	NA
ENSG00000115657	2.00563244052563	2.25959387888595	NA
ENSG00000131269	2.5488676851104	3.0976736994491	NA
ENSG00000197150	2.76283991372636	2.5910646070265	NA
ENSG00000150967	1.79966239970713	2.55630250076729	NA
ENSG00000124574	1.92424757886892	2.228400358703	NA
ENSG00000125257	2.2109578617218	NA	NA
ENSG00000114770	1.88915188507935	2.26670196688409	NA
ENSG00000101986	1.9670706464249	2.71466499286254	NA
ENSG00000119688	2.12854332437492	NA	NA
ENSG00000164163	2.30227512767879	2.73814608871206	NA
ENSG00000033050	2.10846739425736	NA	2.1699376916191
ENSG00000161204	1.87666670602267	2.39619934709574	NA
ENSG00000160179	1.89150624836523	2.56062387454993	NA
ENSG00000144827	1.96456312486115	2.31597034545692	1.88543161510556
ENSG00000106077	1.75914566273442	2.34635297445064	NA
ENSG00000100997	2.18633964718108	2.80057962156913	2.15010088483332
ENSG00000139826	1.5339746658009	2.10653085382238	1.67889033252778
ENSG00000248487	1.83200440155525	3.15836249209525	NA
ENSG00000114779	2.0429203856794	2.29402509409532	NA
ENSG00000140526	2.00815427354763	2.72656421616224	NA
ENSG00000158201	2.48293622230625	2.70243053644553	NA
ENSG00000100439	1.62775731104861	2.66181268553726	NA
ENSG00000163686	1.68657902746148	2.2464985807958	NA
ENSG00000138443	2.2647938549276	2.74616696437729	NA
ENSG00000099204	2.29148765876752	2.85733249643127	NA
ENSG00000146109	1.5114995181325	2.17084820364331	1.69375519694957
ENSG00000166016	1.35295380368976	2.22219604630172	NA
ENSG00000060971	1.89464123432107	2.34635297445064	NA
ENSG00000167315	2.28350349408668	3.15836249209525	NA
ENSG00000076555	1.62663843104775	2.23451728351269	NA
ENSG00000111271	2.17679322529975	2.49415459401844	NA
ENSG00000240303	2.14360453518723	2.98227123303957	NA
ENSG00000151498	2.17828558289634	2.35449260058944	NA
ENSG00000177646	2.48534346050475	2.5910646070265	NA
ENSG00000122971	1.84451064705977	2.38021124171161	2.13681845753077
ENSG00000196177	2.38839460602231	NA	1.95105697206066
ENSG00000072778	2.69433360718274	2.33081946649584	NA
ENSG00000114331	2.1251909642397	2.5641924606262	NA
ENSG00000131584	2.41022529586408	2.40140054078154	NA
ENSG00000075239	2.5594485171957	3.15836249209525	NA
ENSG00000120437	2.20418985291354	3.15836249209525	NA
ENSG00000181513	1.83162145798076	2.18639121569549	NA
ENSG00000107897	1.79199715856272	2.29402509409532	NA
ENSG00000230124	2.0884914352729	2.32345836684947	2.03950913009342
