GeneName,EnsemblGeneID,EnsemblTranscriptID,EnsemblProteinID,,Adrenal,Appendices,Brain,Colon,Duodenum,Uterus,Esophagus,Fallopiantube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymphnode,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivarygland,Smallintestine,Smoothmuscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinarybladder
A1BG,ENSG00000121410,ENST00000263100,ENSP00000263100,,NA,1.073,NA,NA,NA,NA,NA,1.054,NA,NA,NA,NA,3.717,1.007,1.074,NA,NA,NA,NA,NA,1.077,NA,NA,1.175,NA,NA,NA,NA,NA
A1CF,ENSG00000148584,ENST00000373993,ENSP00000363105,,NA,NA,NA,1.971,2.324,NA,NA,NA,NA,1.569,NA,2.032,3.225,NA,NA,NA,1.578,NA,NA,1.891,NA,2.453,NA,NA,1.327,NA,NA,NA,NA
A2M,ENSG00000175899,ENST00000318602,ENSP00000323929,,3.154,3.021,2.824,3.321,3.006,3.344,3.412,2.659,3.653,3.569,3.297,3.477,3.873,3.896,2.798,2.9,2.724,3.524,3.138,3.233,2.846,3.03,3.529,3.312,2.934,2.659,2.879,2.559,3.763
A2ML1,ENSG00000166535,ENST00000299698,ENSP00000299698,,NA,NA,1.355,NA,NA,NA,3.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.565,NA,2.777,NA
A4GALT,ENSG00000128274,ENST00000401850,ENSP00000384794,,1.625,1.567,NA,NA,NA,NA,1.691,1.564,NA,NA,NA,1.297,NA,1.827,NA,NA,NA,1.995,NA,1.047,1.298,NA,NA,NA,1.603,1.379,NA,NA,1.849
A4GNT,ENSG00000118017,ENST00000236709,ENSP00000236709,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.574,NA,NA,NA,NA
AAAS,ENSG00000094914,ENST00000209873,ENSP00000209873,,2.314,2.195,2.312,2.336,2.278,2.164,2.144,2.488,2.192,2.301,2.323,2.163,2.333,2.114,2.334,2.211,2.214,2.182,2.284,2.359,2.432,2.229,2.468,2.373,2.219,2.409,2.204,2.367,2.308
AACS,ENSG00000081760,ENST00000316519,ENSP00000324842,,1.737,1.692,1.738,1.998,1.958,1.822,2.215,1.891,2.379,1.82,1.708,1.889,1.329,1.899,1.699,1.693,1.991,1.763,1.968,1.828,2.698,1.925,1.684,NA,2.315,1.955,2.073,1.902,1.719
AADAC,ENSG00000114771,ENST00000232892,ENSP00000232892,,2.98,NA,NA,NA,3.154,NA,NA,NA,1.007,2.089,NA,NA,3.776,1.72,NA,NA,1.906,1.334,NA,NA,NA,3.266,NA,NA,2.396,NA,NA,NA,NA
AADAT,ENSG00000109576,ENST00000515480,ENSP00000423341,,1.278,NA,1.942,1.55,NA,1.761,1.411,1.539,1.24,1.478,1.408,1.697,2.911,1.606,NA,1.489,1.491,1.159,2.09,1.626,NA,NA,NA,NA,1.357,1.88,1.89,NA,1.532
AAGAB,ENSG00000103591,ENST00000261880,ENSP00000261880,,2.153,2.112,2.012,2.325,2.055,2.087,2.11,2.121,2.006,2.008,2.036,2.251,2.072,2.054,2.008,1.699,2.108,1.959,2.125,2.331,2.046,2.045,2.032,2.02,2.171,2.249,2.341,2.231,2.045
