GeneName,EnsemblGeneID,EnsemblTranscriptID,EnsemblProteinID,,Adrenal,Appendices,Brain,Colon,Duodenum,Uterus,Esophagus,Fallopiantube,Fat,Gallbladder,Heart,Kidney,Liver,Lung,Lymphnode,Ovary,Pancreas,Placenta,Prostate,Rectum,Salivarygland,Smallintestine,Smoothmuscle,Spleen,Stomach,Testis,Thyroid,Tonsil,Urinarybladder
A1BG,ENSG00000121410,ENST00000263100,ENSP00000263100,,NA,9.35,NA,NA,NA,NA,NA,8.895,NA,NA,NA,NA,8.648,8.551,8.787,NA,NA,NA,NA,NA,8.796,NA,NA,8.488,NA,NA,NA,NA,NA
A1CF,ENSG00000148584,ENST00000373993,ENSP00000363105,,NA,NA,NA,7.106,7.695,NA,NA,NA,NA,6.995,NA,7.69,8.756,NA,NA,NA,7.577,NA,NA,7.038,NA,7.654,NA,NA,7.141,NA,NA,NA,NA
A2M,ENSG00000175899,ENST00000318602,ENSP00000323929,,9.444,9.349,8.773,9.133,9.074,8.727,9.293,8.778,10.062,9.397,8.404,8.959,8.75,8.855,8.924,9.143,8.273,9.427,8.818,9.314,8.572,8.729,8.527,8.448,9.469,8.479,8.938,8.233,9.592
A2ML1,ENSG00000166535,ENST00000299698,ENSP00000299698,,NA,NA,5.349,NA,NA,NA,7.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.915,NA,8.026,NA
A4GALT,ENSG00000128274,ENST00000401850,ENSP00000384794,,5.467,6.168,NA,NA,NA,NA,5.704,5.247,NA,NA,NA,5.832,NA,6.673,NA,NA,NA,4.532,NA,5.777,5.807,NA,NA,NA,5.664,6.212,NA,NA,6.092
A4GNT,ENSG00000118017,ENST00000236709,ENSP00000236709,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.973,NA,NA,NA,NA
AAAS,ENSG00000094914,ENST00000209873,ENSP00000209873,,6.827,6.629,6.774,6.872,7.195,6.841,6.309,6.763,6.394,7.814,6.248,6.612,6.443,7.2,6.906,6.805,6.513,7.241,7.055,6.8,6.783,6.349,6.709,6.348,7.308,7.4,6.855,6.871,6.778
AACS,ENSG00000081760,ENST00000316519,ENSP00000324842,,6.296,6.708,6.858,6.424,7.243,6.462,6.229,6.351,7.201,6.538,6.57,6.778,6.905,6.918,6.301,6.473,6.592,6.834,6.924,6.645,7.504,6.319,5.994,NA,7.08,6.507,6.661,6.803,6.56
AADAC,ENSG00000114771,ENST00000232892,ENSP00000232892,,8.09,NA,NA,NA,8.162,NA,NA,NA,6.187,7.351,NA,NA,8.745,5.669,NA,NA,7.142,6.536,NA,NA,NA,8.342,NA,NA,7.105,NA,NA,NA,NA
AADAT,ENSG00000109576,ENST00000515480,ENSP00000423341,,6.505,NA,6.107,5.665,NA,6.562,7.082,5.344,6.202,7.051,5.648,6.527,8.569,5.727,NA,5.548,4.179,6.406,5.897,5.908,NA,NA,NA,NA,5.878,5.538,5.453,NA,5.759
AAGAB,ENSG00000103591,ENST00000261880,ENSP00000261880,,7.74,6.452,6.671,6.328,6.841,6.775,6.519,6.501,6.591,6.695,6.512,6.428,7.931,6.656,6.394,6.697,6.011,6.382,6.87,6.781,7.099,6.57,5.963,6.264,6.678,7.201,6.403,6.741,6.543
AAK1,ENSG00000115977,ENST00000409085,ENSP00000386456,,7.565,7.092,8.144,NA,7.479,7.614,NA,NA,7.116,NA,8.113,7.621,NA,NA,7.54,NA,7.12,7.816,7.541,NA,NA,7.255,NA,7.218,7.406,7.251,7.679,NA,NA
AAMDC,ENSG00000087884,ENST00000526415,ENSP00000431808,,7.838,7.988,7.744,8.044,7.224,8.281,8.541,8.546,8.054,7.55,8.825,8.041,7.662,7.737,7.618,7.729,7.57,7.412,7.576,8.318,7.834,8.064,8.198,7.959,8.042,7.917,7.713,7.511,7.902
AAMP,ENSG00000127837,ENST00000420660,ENSP00000416394,,6.974,7.573,7.477,7.135,7.465,7.001,7.105,7.204,6.915,6.963,NA,7.057,7.352,7.449,7.156,6.942,7.244,6.85,6.95,7.073,7.333,7.172,6.891,7.547,7.379,7.19,6.878,7.293,7.289
AAR2,ENSG00000131043,ENST00000373932,ENSP00000363043,,7.08,6.992,6.545,6.658,6.74,6.545,6.576,6.862,6.267,6.463,6.387,6.084,6.955,6.713,6.889,6.572,7.583,6.809,6.469,7.018,6.256,6.573,6.661,6.654,6.499,7.178,6.746,7.264,6.604
AARD,ENSG00000205002,ENST00000378279,ENSP00000367528,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.761,NA,NA,NA
AARS,ENSG00000090861,ENST00000261772,ENSP00000261772,,8.164,7.894,8.769,8.216,8.227,8.243,8.179,8.079,7.896,8.067,7.939,7.963,8.643,8.522,8.117,7.965,8.69,8.153,8.153,8.176,8.423,8.101,8.384,8.027,7.944,8.117,8.611,8.241,8.131
AASDH,ENSG00000157426,ENST00000602986,ENSP00000473564,,6.342,6.206,NA,5.911,4.222,5.723,NA,5.362,NA,NA,NA,7.401,7.372,5.29,NA,6.32,NA,5.658,NA,5.395,4.701,7.23,NA,5.721,5.724,NA,7.558,4.811,NA
AASDHPPT,ENSG00000149313,ENST00000278618,ENSP00000278618,,7.724,7.721,8.346,7.828,7.503,7.601,7.743,7.847,7.194,7.31,7.792,7.836,7.644,7.833,7.787,7.539,6.939,7.54,7.486,7.439,7.726,7.736,7.991,7.37,7.856,7.807,7.855,7.8,7.32
