construct	dCt	replicate	cell
mCLeGK1	0.352659114	rep1	A549
mCLeGK1	0.498632261	rep1	HEK293
mCLeGK2	20.03509445	rep1	A549
mCLeGK2	5.914973303	rep1	HEK293
mCKeGL1	0.157080782	rep1	A549
mCKeGL1	0.375256856	rep1	HEK293
mCKeGL2	0.661672618	rep1	A549
mCKeGL2	0.603305824	rep1	HEK293
mCLeGK1	0.101805202	rep2	A549
mCLeGK1	0.471201151	rep2	HEK293
mCLeGK2	13.17298887	rep2	A549
mCLeGK2	14.0990997	rep2	HEK293
mCKeGL1	0.038093901	rep2	A549
mCKeGL1	0.390715253	rep2	HEK293
mCKeGL2	0.732904712	rep2	A549
mCKeGL2	0.943949908	rep2	HEK293
mCLeGK1	0.335699205	rep3	A549
mCLeGK1	0.482827111	rep3	HEK293
mCLeGK2	3.494312569	rep3	A549
mCLeGK2	1.636894582	rep3	HEK293
mCKeGL1	0.118007348	rep3	A549
mCKeGL1	0.368567304	rep3	HEK293
mCKeGL2	0.582366793	rep3	A549
mCKeGL2	1.098627034	rep3	HEK293
