Ensembl	Gene	Description
ENSG00000121410	A1BG	"Alpha-1-B glycoprotein"
ENSG00000175899	A2M	Alpha-2-macroglobulin
ENSG00000166535	A2ML1	"Alpha-2-macroglobulin like 1"
ENSG00000197953	AADACL2	"Arylacetamide deacetylase like 2"
ENSG00000168792	ABHD15	"Abhydrolase domain containing 15"
ENSG00000154175	ABI3BP	"ABI family member 3 binding protein"
ENSG00000175164	ABO	"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase"
ENSG00000267335	AC008687.1	
ENSG00000275063	AC233755.1	"Immunoglobulin heavy variable 4-38-2 "
ENSG00000157766	ACAN	Aggrecan
ENSG00000159640	ACE	"Angiotensin I converting enzyme"
ENSG00000130234	ACE2	"Angiotensin I converting enzyme 2"
ENSG00000183760	ACP7	"Acid phosphatase 7, tartrate resistant (putative)"
ENSG00000014257	ACPP	"Acid phosphatase, prostate"
ENSG00000100312	ACR	Acrosin
ENSG00000093072	ADA2	"Adenosine deaminase 2"
ENSG00000148848	ADAM12	"ADAM metallopeptidase domain 12"
ENSG00000042980	ADAM28	"ADAM metallopeptidase domain 28"
ENSG00000168615	ADAM9	"ADAM metallopeptidase domain 9"
ENSG00000134028	ADAMDEC1	"ADAM like decysin 1"
ENSG00000154734	ADAMTS1	"ADAM metallopeptidase with thrombospondin type 1 motif 1"
ENSG00000142303	ADAMTS10	"ADAM metallopeptidase with thrombospondin type 1 motif 10"
ENSG00000151388	ADAMTS12	"ADAM metallopeptidase with thrombospondin type 1 motif 12"
ENSG00000160323	ADAMTS13	"ADAM metallopeptidase with thrombospondin type 1 motif 13"
ENSG00000138316	ADAMTS14	"ADAM metallopeptidase with thrombospondin type 1 motif 14"
ENSG00000166106	ADAMTS15	"ADAM metallopeptidase with thrombospondin type 1 motif 15"
ENSG00000145536	ADAMTS16	"ADAM metallopeptidase with thrombospondin type 1 motif 16"
ENSG00000140470	ADAMTS17	"ADAM metallopeptidase with thrombospondin type 1 motif 17"
ENSG00000140873	ADAMTS18	"ADAM metallopeptidase with thrombospondin type 1 motif 18"
ENSG00000145808	ADAMTS19	"ADAM metallopeptidase with thrombospondin type 1 motif 19"
ENSG00000087116	ADAMTS2	"ADAM metallopeptidase with thrombospondin type 1 motif 2"
ENSG00000173157	ADAMTS20	"ADAM metallopeptidase with thrombospondin type 1 motif 20"
ENSG00000156140	ADAMTS3	"ADAM metallopeptidase with thrombospondin type 1 motif 3"
ENSG00000158859	ADAMTS4	"ADAM metallopeptidase with thrombospondin type 1 motif 4"
ENSG00000154736	ADAMTS5	"ADAM metallopeptidase with thrombospondin type 1 motif 5"
ENSG00000049192	ADAMTS6	"ADAM metallopeptidase with thrombospondin type 1 motif 6"
ENSG00000136378	ADAMTS7	"ADAM metallopeptidase with thrombospondin type 1 motif 7"
ENSG00000134917	ADAMTS8	"ADAM metallopeptidase with thrombospondin type 1 motif 8"
ENSG00000163638	ADAMTS9	"ADAM metallopeptidase with thrombospondin type 1 motif 9"
ENSG00000178031	ADAMTSL1	"ADAMTS like 1"
ENSG00000197859	ADAMTSL2	"ADAMTS like 2"
ENSG00000156218	ADAMTSL3	"ADAMTS like 3"
ENSG00000143382	ADAMTSL4	"ADAMTS like 4"
ENSG00000185761	ADAMTSL5	"ADAMTS like 5"
ENSG00000063761	ADCK1	"AarF domain containing kinase 1"
ENSG00000141433	ADCYAP1	"Adenylate cyclase activating polypeptide 1"
ENSG00000181790	ADGRB1	"Adhesion G protein-coupled receptor B1"
ENSG00000131355	ADGRE3	"Adhesion G protein-coupled receptor E3"
ENSG00000123146	ADGRE5	"Adhesion G protein-coupled receptor E5"
ENSG00000153292	ADGRF1	"Adhesion G protein-coupled receptor F1"
ENSG00000205336	ADGRG1	"Adhesion G protein-coupled receptor G1"
ENSG00000181092	ADIPOQ	"Adiponectin, C1Q and collagen domain containing"
ENSG00000148926	ADM	Adrenomedullin
ENSG00000128165	ADM2	"Adrenomedullin 2"
ENSG00000224420	ADM5	"Adrenomedullin 5 (putative)"
ENSG00000106624	AEBP1	"AE binding protein 1"
ENSG00000079557	AFM	Afamin
ENSG00000081051	AFP	"Alpha fetoprotein"
ENSG00000204305	AGER	"Advanced glycosylation end-product specific receptor"
ENSG00000164252	AGGF1	"Angiogenic factor with G-patch and FHA domains 1"
ENSG00000188157	AGRN	Agrin
ENSG00000159723	AGRP	"Agouti related neuropeptide"
ENSG00000135744	AGT	Angiotensinogen
ENSG00000145192	AHSG	"Alpha 2-HS glycoprotein"
ENSG00000164022	AIMP1	"Aminoacyl tRNA synthetase complex interacting multifunctional protein 1"
ENSG00000198074	AKR1B10	"Aldo-keto reductase family 1 member B10"
ENSG00000163631	ALB	Albumin
ENSG00000196711	ALKAL1	"ALK and LTK ligand 1"
ENSG00000189292	ALKAL2	"ALK and LTK ligand 2"
ENSG00000178522	AMBN	Ameloblastin
ENSG00000106927	AMBP	"Alpha-1-microglobulin/bikunin precursor"
ENSG00000125363	AMELX	"Amelogenin, X-linked"
ENSG00000099721	AMELY	"Amelogenin, Y-linked"
ENSG00000104899	AMH	"Anti-Mullerian hormone"
ENSG00000187689	AMTN	Amelotin
ENSG00000237763	AMY1A	"Amylase, alpha 1A (salivary)"
ENSG00000174876	AMY1B	"Amylase, alpha 1B (salivary)"
ENSG00000187733	AMY1C	"Amylase, alpha 1C (salivary)"
ENSG00000243480	AMY2A	"Amylase, alpha 2A (pancreatic)"
ENSG00000240038	AMY2B	"Amylase, alpha 2B (pancreatic)"
ENSG00000214274	ANG	Angiogenin
ENSG00000154188	ANGPT1	"Angiopoietin 1"
ENSG00000091879	ANGPT2	"Angiopoietin 2"
ENSG00000101280	ANGPT4	"Angiopoietin 4"
ENSG00000116194	ANGPTL1	"Angiopoietin like 1"
ENSG00000136859	ANGPTL2	"Angiopoietin like 2"
ENSG00000132855	ANGPTL3	"Angiopoietin like 3"
ENSG00000167772	ANGPTL4	"Angiopoietin like 4"
ENSG00000187151	ANGPTL5	"Angiopoietin like 5"
ENSG00000130812	ANGPTL6	"Angiopoietin like 6"
ENSG00000171819	ANGPTL7	"Angiopoietin like 7"
ENSG00000130173	ANGPTL8	"Angiopoietin like 8"
ENSG00000166839	ANKDD1A	"Ankyrin repeat and death domain containing 1A"
ENSG00000011201	ANOS1	"Anosmin 1"
ENSG00000135046	ANXA1	"Annexin A1"
ENSG00000182718	ANXA2	"Annexin A2"
ENSG00000136250	AOAH	"Acyloxyacyl hydrolase"
ENSG00000002726	AOC1	"Amine oxidase, copper containing 1"
ENSG00000131471	AOC3	"Amine oxidase, copper containing 3"
ENSG00000285010	AP000790.4	
ENSG00000285231	AP002347.1	
ENSG00000132703	APCS	"Amyloid P component, serum"
ENSG00000248329	APELA	"Apelin receptor early endogenous ligand"
ENSG00000171388	APLN	Apelin
ENSG00000118137	APOA1	"Apolipoprotein A1"
ENSG00000158874	APOA2	"Apolipoprotein A2"
ENSG00000110244	APOA4	"Apolipoprotein A4"
ENSG00000110243	APOA5	"Apolipoprotein A5"
ENSG00000084674	APOB	"Apolipoprotein B"
ENSG00000130208	APOC1	"Apolipoprotein C1"
ENSG00000234906	APOC2	"Apolipoprotein C2"
ENSG00000110245	APOC3	"Apolipoprotein C3"
ENSG00000267467	APOC4	"Apolipoprotein C4"
ENSG00000189058	APOD	"Apolipoprotein D"
ENSG00000130203	APOE	"Apolipoprotein E"
ENSG00000175336	APOF	"Apolipoprotein F"
ENSG00000091583	APOH	"Apolipoprotein H"
ENSG00000100342	APOL1	"Apolipoprotein L1"
ENSG00000100336	APOL4	"Apolipoprotein L4"
ENSG00000204444	APOM	"Apolipoprotein M"
ENSG00000184831	APOO	"Apolipoprotein O"
ENSG00000062096	ARSF	"Arylsulfatase F"
ENSG00000183876	ARSI	"Arylsulfatase family member I"
ENSG00000180801	ARSJ	"Arylsulfatase family member J"
ENSG00000164291	ARSK	"Arylsulfatase family member K"
ENSG00000111339	ART4	"ADP-ribosyltransferase 4 (Dombrock blood group)"
ENSG00000167311	ART5	"ADP-ribosyltransferase 5"
ENSG00000117407	ARTN	Artemin
ENSG00000101440	ASIP	"Agouti signaling protein"
ENSG00000106819	ASPN	Asporin
ENSG00000188886	ASTL	"Astacin like metalloendopeptidase"
ENSG00000088812	ATRN	Attractin
ENSG00000101200	AVP	"Arginine vasopressin"
ENSG00000160862	AZGP1	"Alpha-2-glycoprotein 1, zinc-binding"
ENSG00000172232	AZU1	"Azurocidin 1"
ENSG00000109956	B3GAT1	"Beta-1,3-glucuronyltransferase 1"
ENSG00000132692	BCAN	Brevican
ENSG00000114200	BCHE	Butyrylcholinesterase
ENSG00000176697	BDNF	"Brain derived neurotrophic factor"
ENSG00000242252	BGLAP	"Bone gamma-carboxyglutamate protein"
ENSG00000182492	BGN	Biglycan
ENSG00000168487	BMP1	"Bone morphogenetic protein 1"
ENSG00000163217	BMP10	"Bone morphogenetic protein 10"
ENSG00000130385	BMP15	"Bone morphogenetic protein 15"
ENSG00000125845	BMP2	"Bone morphogenetic protein 2"
ENSG00000152785	BMP3	"Bone morphogenetic protein 3"
ENSG00000125378	BMP4	"Bone morphogenetic protein 4"
ENSG00000112175	BMP5	"Bone morphogenetic protein 5"
ENSG00000153162	BMP6	"Bone morphogenetic protein 6"
ENSG00000101144	BMP7	"Bone morphogenetic protein 7"
ENSG00000183682	BMP8A	"Bone morphogenetic protein 8a"
ENSG00000116985	BMP8B	"Bone morphogenetic protein 8b"
ENSG00000164619	BMPER	"BMP binding endothelial regulator"
ENSG00000101425	BPI	"Bactericidal/permeability-increasing protein"
ENSG00000198183	BPIFA1	"BPI fold containing family A member 1"
ENSG00000131050	BPIFA2	"BPI fold containing family A member 2"
ENSG00000131059	BPIFA3	"BPI fold containing family A member 3"
ENSG00000125999	BPIFB1	"BPI fold containing family B member 1"
ENSG00000186191	BPIFB4	"BPI fold containing family B member 4"
ENSG00000184459	BPIFC	"BPI fold containing family C"
ENSG00000198797	BRINP2	"BMP/retinoic acid inducible neural specific 2"
ENSG00000162670	BRINP3	"BMP/retinoic acid inducible neural specific 3"
ENSG00000188334	BSPH1	"Binder of sperm protein homolog 1"
ENSG00000204347	BTBD17	"BTB domain containing 17"
ENSG00000174808	BTC	Betacellulin
ENSG00000169814	BTD	Biotinidase
ENSG00000124557	BTN1A1	"Butyrophilin subfamily 1 member A1"
ENSG00000276911	BX248415.1	
ENSG00000120055	C10orf95	"Chromosome 10 open reading frame 95"
ENSG00000188373	C10orf99	"Chromosome 10 open reading frame 99"
ENSG00000174370	C11orf45	"Chromosome 11 open reading frame 45"
ENSG00000234776	C11orf94	"Chromosome 11 open reading frame 94"
ENSG00000111412	C12orf49	"Chromosome 12 open reading frame 49"
ENSG00000204954	C12orf73	"Chromosome 12 open reading frame 73"
ENSG00000100802	C14orf93	"Chromosome 14 open reading frame 93"
ENSG00000189227	C15orf61	"Chromosome 15 open reading frame 61"
ENSG00000153446	C16orf89	"Chromosome 16 open reading frame 89"
ENSG00000214226	C17orf67	"Chromosome 17 open reading frame 67"
ENSG00000187997	C17orf99	"Chromosome 17 open reading frame 99"
ENSG00000166845	C18orf54	"Chromosome 18 open reading frame 54"
ENSG00000118292	C1orf54	"Chromosome 1 open reading frame 54"
ENSG00000143443	C1orf56	"Chromosome 1 open reading frame 56"
ENSG00000173372	C1QA	"Complement C1q A chain"
ENSG00000173369	C1QB	"Complement C1q B chain"
ENSG00000159189	C1QC	"Complement C1q C chain"
ENSG00000131094	C1QL1	"Complement C1q like 1"
ENSG00000144119	C1QL2	"Complement C1q like 2"
ENSG00000165985	C1QL3	"Complement C1q like 3"
ENSG00000186897	C1QL4	"Complement C1q like 4"
ENSG00000173918	C1QTNF1	"C1q and TNF related 1"
ENSG00000184163	C1QTNF12	"C1q and TNF related 12"
ENSG00000145861	C1QTNF2	"C1q and TNF related 2"
ENSG00000082196	C1QTNF3	"C1q and TNF related 3"
ENSG00000172247	C1QTNF4	"C1q and TNF related 4"
ENSG00000223953	C1QTNF5	"C1q and TNF related 5"
ENSG00000133466	C1QTNF6	"C1q and TNF related 6"
ENSG00000163145	C1QTNF7	"C1q and TNF related 7"
ENSG00000184471	C1QTNF8	"C1q and TNF related 8"
ENSG00000240654	C1QTNF9	"C1q and TNF related 9"
ENSG00000205863	C1QTNF9B	"C1q and TNF related 9B"
ENSG00000159403	C1R	"Complement C1r"
ENSG00000139178	C1RL	"Complement C1r subcomponent like"
ENSG00000182326	C1S	"Complement C1s"
ENSG00000166278	C2	"Complement C2"
ENSG00000205929	C21orf62	"Chromosome 21 open reading frame 62"
ENSG00000169314	C22orf15	"Chromosome 22 open reading frame 15"
ENSG00000184208	C22orf46	"Chromosome 22 open reading frame 46"
ENSG00000119147	C2orf40	"Chromosome 2 open reading frame 40"
ENSG00000187944	C2orf66	"Chromosome 2 open reading frame 66"
ENSG00000178074	C2orf69	"Chromosome 2 open reading frame 69"
ENSG00000125730	C3	"Complement C3"
ENSG00000174928	C3orf33	"Chromosome 3 open reading frame 33"
ENSG00000181744	C3orf58	"Chromosome 3 open reading frame 58"
ENSG00000244731	C4A	"Complement C4A (Rodgers blood group)"
ENSG00000224389	C4B	"Complement C4B (Chido blood group)"
ENSG00000123838	C4BPA	"Complement component 4 binding protein alpha"
ENSG00000123843	C4BPB	"Complement component 4 binding protein beta"
ENSG00000243449	C4orf48	"Chromosome 4 open reading frame 48"
ENSG00000106804	C5	"Complement C5"
ENSG00000186493	C5orf38	"Chromosome 5 open reading frame 38"
ENSG00000178776	C5orf46	"Chromosome 5 open reading frame 46"
ENSG00000039537	C6	"Complement C6"
ENSG00000185127	C6orf120	"Chromosome 6 open reading frame 120"
ENSG00000204542	C6orf15	"Chromosome 6 open reading frame 15"
ENSG00000184530	C6orf58	"Chromosome 6 open reading frame 58"
ENSG00000112936	C7	"Complement C7"
ENSG00000157131	C8A	"Complement C8 alpha chain"
ENSG00000021852	C8B	"Complement C8 beta chain"
ENSG00000176919	C8G	"Complement C8 gamma chain"
ENSG00000113600	C9	"Complement C9"
ENSG00000186354	C9orf47	"Chromosome 9 open reading frame 47"
